Name,Est Dia in M(min),Est Dia in M(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(kilometers),Orbiting Body,Hazardous
2470594,242.4124811,542.0507863,1995-07-15,18.51751945,48037648,Earth,FALSE
3414402,305.1792326,682.4015094,1995-07-15,26.34786713,55637000,Earth,FALSE
2212359,1214.940408,2716.689341,1995-07-22,20.29179925,60871124,Earth,FALSE
2348314,699.1252322,1563.291544,1995-07-22,15.34221967,66316588,Earth,TRUE
3560054,48.36764882,108.1533507,1995-07-22,9.830749452,48873616,Earth,FALSE
3666783,231.5021222,517.6544822,1995-07-22,15.41407222,72039488,Earth,TRUE
2307070,192.5550782,430.5662442,1995-08-08,14.69930803,44574208,Earth,FALSE
2314082,840.5334021,1879.489824,1995-08-08,21.25585067,45663968,Earth,TRUE
3008362,231.5021222,517.6544822,1995-08-08,19.8486346,72342576,Earth,FALSE
3182823,40.23045798,89.95803882,1995-08-08,9.509879717,5849801.5,Earth,FALSE
3390647,105.8168859,236.6137501,1995-08-08,16.06106628,73313632,Earth,TRUE
3746629,7.320739894,16.36967205,1995-08-08,20.48445425,66852456,Earth,FALSE
3662252,18.38886721,41.1187571,1995-08-08,19.53492824,54720140,Earth,FALSE
2365449,211.1324448,472.1064988,1995-08-15,13.20166038,66886804,Earth,FALSE
3410474,167.7084622,375.0075218,1995-08-15,24.36755481,64415952,Earth,FALSE
3426239,211.1324448,472.1064988,1995-08-15,14.24794319,29983460,Earth,FALSE
3623682,13.32155667,29.78790628,1995-08-15,15.4970038,43464572,Earth,FALSE
3724948,384.1978911,859.0926012,1995-08-15,19.88515963,33564184,Earth,FALSE
2099799,581.5070396,1300.28927,1995-08-22,3.631631329,36989136,Earth,FALSE
2267759,461.9074603,1032.856481,1995-08-22,10.6702067,70651280,Earth,FALSE
3645649,30.51792326,68.24015094,1995-08-22,19.64827271,70551696,Earth,FALSE
3761271,35.03926411,78.35017643,1995-08-22,15.82831923,49979660,Earth,FALSE
3150188,152.9519353,342.0109247,1995-09-08,12.8466218,62941832,Earth,FALSE
3508168,366.9061375,820.4270649,1995-09-08,20.98692105,71921168,Earth,TRUE
3682429,608.9126221,1361.570015,1995-09-08,13.64081603,26301152,Earth,FALSE
3691712,26.58,59.43468684,1995-09-08,1.444412563,16750804,Earth,FALSE
2477519,366.9061375,820.4270649,1995-09-08,20.98684799,71920712,Earth,TRUE
3766334,66.76594135,149.2931834,1995-09-08,12.19944446,51441896,Earth,FALSE
3625128,278.3267681,622.3575734,1995-09-08,21.82359578,65705832,Earth,FALSE
2347634,334.6223745,748.2383761,1995-09-15,15.51968958,63934848,Earth,FALSE
3666733,29.14439045,65.16883822,1995-09-15,5.772196918,60424960,Earth,FALSE
3771633,12.19424669,27.26716454,1995-09-15,5.985693748,30038752,Earth,FALSE
3160737,152.9519353,342.0109247,1995-09-22,33.01373457,64146424,Earth,TRUE
3684352,183.8886721,411.187571,1995-09-22,12.23303167,37765468,Earth,FALSE
3781651,24.38680899,54.53056265,1995-09-22,20.06035265,48875488,Earth,FALSE
2162694,319.5618867,714.5621017,1995-10-08,24.43643362,65340896,Earth,FALSE
3429684,22.10828104,49.43561926,1995-10-08,8.178060535,18553526,Earth,FALSE
3581238,221.0828104,494.3561926,1995-10-08,13.99908588,40918004,Earth,FALSE
3601472,402.3045798,899.5803882,1995-10-08,15.47761552,31246566,Earth,TRUE
3666677,73.20739893,163.6967205,1995-10-08,10.35388121,15399087,Earth,FALSE
3730802,33.46223745,74.82383761,1995-10-08,7.035079264,17480564,Earth,FALSE
3092146,35.03926411,78.35017643,1995-10-15,4.543054195,63164000,Earth,FALSE
3471585,12.72198785,28.44722965,1995-10-15,23.69987137,69715352,Earth,FALSE
3610358,441.1182,986.3702813,1995-10-15,34.71873679,56825760,Earth,FALSE
3666785,92.16265485,206.0819612,1995-10-15,12.98022659,25918202,Earth,FALSE
2355046,334.6223745,748.2383761,1995-10-22,7.54190726,71767928,Earth,FALSE
2444193,608.9126221,1361.570015,1995-10-22,18.15380738,37159120,Earth,TRUE
3072196,33.46223745,74.82383761,1995-10-22,11.28681471,39248196,Earth,FALSE
3514891,101.0543415,225.9643771,1995-10-22,23.72220568,52415584,Earth,FALSE
3765702,23.15021222,51.76544822,1995-10-22,11.64611137,44981772,Earth,FALSE
2003362,581.5070396,1300.28927,1995-11-08,11.64710673,70112592,Earth,TRUE
3358223,76.65755735,171.4115092,1995-11-08,10.35324209,31336330,Earth,FALSE
3634389,278.3267681,622.3575734,1995-11-08,23.38412318,69361968,Earth,FALSE
2221980,421.2646106,941.9763057,1995-11-15,12.13803165,53015068,Earth,TRUE
3431599,265.8,594.3468684,1995-11-15,21.5761474,36613344,Earth,FALSE
3736387,167.7084622,375.0075218,1995-11-15,16.50157935,28088220,Earth,FALSE
2152978,319.5618867,714.5621017,1995-11-22,13.12160832,54038588,Earth,TRUE
3373683,350.3926411,783.5017643,1995-11-22,7.952404402,40350200,Earth,TRUE
3565394,3.051792326,6.824015094,1995-11-22,19.12628617,70129456,Earth,FALSE
3749346,53.03407233,118.5877909,1995-11-22,6.772455512,26178680,Earth,FALSE
2489486,350.3926411,783.5017643,1995-11-22,7.952404476,40350200,Earth,TRUE
3695735,127.2198785,284.4722965,1995-11-22,8.976896282,60527156,Earth,FALSE
3092345,581.5070396,1300.28927,1995-12-08,19.30014962,59412452,Earth,FALSE
3529600,55.53349116,124.1766613,1995-12-08,11.15252559,58746584,Earth,FALSE
3573154,242.4124811,542.0507863,1995-12-08,7.775284323,56671204,Earth,FALSE
3710226,16.77084622,37.50075218,1995-12-08,8.454837553,25237628,Earth,FALSE
3739251,402.3045798,899.5803882,1995-12-08,4.554434942,64140008,Earth,FALSE
2033342,699.1252322,1563.291544,1995-12-15,24.07402918,65922180,Earth,TRUE
